Consigne.started,Consigne.stopped,Key_resp1.keys,Key_resp1.rt,Key_resp1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,IMAGES.started,IMAGES.stopped,SAM.started,SAM.stopped,Plaisir.response,Plaisir.rt,EVEIL.response,EVEIL.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,ImagesDistracteursFile,Test,Calcul.started,Calcul.stopped,Key_response.keys,Key_response.rt,Key_response.duration,Consigne_reco.started,Consigne_reco.stopped,key_resp_reconn.keys,key_resp_reconn.rt,key_resp_reconn.duration,DISTRACTEURS.started,DISTRACTEURS.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,415.2098,425.1995,425.2,431.3052,1,4.0862,8,6.0955,0,22,22,22,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video5.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,431.3056,441.2963,441.2974,448.6678,8,5.1035,7,7.3674,0,23,23,23,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video7.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,448.6683,458.6675,458.6682,466.1138,6,5.0546,5,7.4383,0,24,24,24,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image8.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,466.1142,476.1027,476.1035,479.9604,1,2.2493,9,3.8502,0,25,25,25,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,479.9608,489.9644,489.9648,496.4942,7,2.4509,2,6.5279,0,26,26,26,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image7.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,496.4945,506.4877,506.4885,513.5851,8,5.3092,1,7.0935,0,27,27,27,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video4.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre10.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,513.5854,523.5827,523.5831,529.1147,1,2.8839,8,5.5236,0,28,28,28,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image1.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image3.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,529.115,539.1147,539.1155,545.1774,1,2.3358,6,6.0531,0,29,29,29,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video10.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,545.1779,555.1787,555.1789,560.9742,8,2.9856,1,5.7937,0,30,30,30,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video8.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,560.9744,570.9634,570.9642,575.7529,5,1.8815,6,4.7857,0,31,31,31,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image9.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,575.7533,585.7514,585.7523,589.4661,1,1.8092,9,3.7038,0,32,32,32,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,589.4665,599.4634,599.4638,604.9125,1,2.8113,3,5.4459,0,33,33,33,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video3.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video3.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,604.913,614.9111,614.9119,618.5427,9,1.859,9,3.6209,0,34,34,34,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
